1347600292122|0|1|35184372091840|Arturo|Alvarez|female|596073600000|1347600292122|189.206.207.8|Internet Explorer|752|es;en|Arturo35184372091840@gmail.com|1417|5042,2006|804,2007;789,2008
1347615339076|0|1|35184372090047|Witold|Ciesla|female|435456000000|1347615339076|31.183.168.247|Firefox|1282|pl;en|Witold35184372090047@gmail.com|205;1178;1760;1988;9097;9163;9317||979,2009
1347625494732|0|1|35184372089129|Ashin|Michie|female|487555200000|1347625494732|203.215.60.162|Chrome|1010|my;en|Ashin35184372089129@gmail.com;Ashin35184372089129@gmx.com;Ashin35184372089129@hotmail.com|205;564;571;577;810;973;978;1177;1668;1988;2081;2096;2107;2799;2818;2840;2845;2879;2923;2926;2963;2965;4986;5162;5342;5546;5648;5650;6368;6645;6990;7507;7522;7572;7594;8792;10107;10322||1009,2010;982,2004;892,2006;109,2004;1133,2010
1347681355202|0|1|35184372090466|Rahim|Zaland|female|611712000000|1347681355202|58.147.130.150|Firefox|953|tk;uz;en|Rahim35184372090466@hotmail.com|1671;1747;6429;16074|1582,2008|1,2009;2,2009
1347701695628|0|1|35184372089452|Manuel|Gonzalez|male|480384000000|1347701695628|148.204.205.19|Firefox|740|es;en|Manuel35184372089452@gmail.com;Manuel35184372089452@gmx.com;Manuel35184372089452@hotmail.com|140;243;468;575;580;776;1021;1452;1616;1763;1764;1987;1995;1997;2000;2034;2043;2051;2067;2087;2092;2781;2782;2783;2790;2793;2890;2950;2982;2996;3001;3101;5116;5313;5490;6395;6704;6964;7517;7545;7960;9170;9174;10197;11537;12742|5039,2004|
1347711239096|0|1|35184372091206|Jan|Martens|female|621129600000|1347711239096|84.196.49.229|Chrome|1001|fr;nl;en|Jan35184372091206@gmail.com|143;144;295;299;458;578;792;1176;1185;1669;1674;1761;1863;1908;1910;1919;1984;1990;2004;2038;2049;2050;2094;2095;2777;2778;2781;2782;2794;2811;2814;2817;2826;2830;2837;2855;2872;2879;2885;2896;2906;2930;2962;2982;3005;3013;3024;5070;5156;5163;6409;6413;6418;6438;6610;6904;6981;6989;7509;7521;7522;7523;7524;7594;7604;8774;9161;9209;9371;9548;9990;11236;11875;11884;11906;13291||116,2011;117,2010;971,2009
1347723078799|0|1|35184372091430|Joseph|Khan|male|359856000000|1347723078799|49.204.58.186|Chrome|225|gu;kn;en|Joseph35184372091430@gmail.com|0;778;1179;1984;2801;2838;2968;3047;3089;3099;5162;6981;7547||
1347728341891|0|1|35184372089227|Carlos|Araujo|female|340243200000|1347728341891|152.92.50.216|Safari|582|pt;en|Carlos35184372089227@gmail.com;Carlos35184372089227@gmx.com;Carlos35184372089227@yahoo.com|6|1852,1998|
1347748393506|0|1|35184372092485|Chico|Silva|male|526521600000|1347748393506|200.0.69.87|Chrome|555|pt;en|Chico35184372092485@gmail.com|1168|1872,2007|816,2008;149,2008;153,2008;172,2008
1347806260410|0|1|35184372091940|Fernando|Sanchez|female|415584000000|1347806260410|31.47.76.200|Firefox|1351|es;ca;en|Fernando35184372091940@gmail.com;Fernando35184372091940@yahoo.com|244;294;575;775;788;2006;2043;2047;2071;2115;2778;2787;2797;2798;2804;2894;2906;2907;2954;2970;2978;3028;3052;5115;6039;6413;7002;7509;7520;7596;9299;9317;9415|6308,2003|
